Size (sqft),Bedrooms,Age (years),Price (lakhs)
1626,4,7,92.43
1959,1,3,91.83
1360,4,5,67.8
1794,4,7,89.07
1630,2,19,70.35
1595,1,29,60.52
2224,3,2,118.97
1544,3,15,82.37
2138,1,29,70.73
621,3,24,58.01
966,3,2,84.8
1738,1,24,82.66
830,4,28,44.11
1982,1,17,76.22
587,4,13,67.68
1896,3,17,81.4
1623,3,1,87.93
1371,3,21,79.68
2187,2,2,85.94
630,4,15,55.3
2185,2,28,57.54
1832,2,8,73.12
1269,1,3,59.94
843,2,0,42.81
2015,1,3,101.17
1937,1,0,68.81
1305,2,13,62.15
885,4,20,63.86
1715,4,15,102.86
1455,4,19,65.49
776,4,23,70.31
1684,4,7,89.22
959,2,6,47.75
1837,2,2,89.33
521,3,16,49.42
752,4,0,56.56
1247,2,15,65.11
1356,3,11,69.63
2084,4,26,98.46
974,1,18,57.24
1582,3,21,94.12
1010,2,22,43.52
2205,1,21,108.28
1999,1,13,62.85
1199,1,29,53.65
1475,3,5,84.13
2306,2,5,100.99
689,1,12,37.04
1457,4,18,78.03
1186,1,21,51.45
1457,1,7,61.42
1062,3,26,70.16
2399,3,26,105.34
2090,2,1,85.57
1767,4,20,98.01
1331,3,29,72.2
2028,1,0,93.97
1654,2,27,80.52
2008,1,14,74.15
2342,1,0,89.66
1146,3,4,76.05
520,2,27,46.3
1340,4,28,74.39
666,4,15,58.15
1797,3,18,98.09
887,3,3,55.09
1100,2,2,68.07
815,4,16,59.23
513,4,16,50.01
741,4,11,71.02
1276,1,27,66.13
1869,4,29,98.41
1064,1,28,64.37
1397,2,13,69.52
1863,1,20,83.71
591,2,5,43.63
1890,4,2,99.54
1455,4,27,76.95
1978,2,8,88.71
1951,3,4,98.68
1008,2,23,47.46
1275,3,28,88.57
2466,1,16,85.72
534,1,13,26.28
705,1,20,53.73
1604,4,2,95.64
2455,1,27,99.49
2085,3,0,103.83
2395,1,19,92.93
1911,2,28,72.76
1525,2,20,72.51
1521,4,22,74.46
1913,2,0,97.14
1065,3,2,65.08
1629,1,17,62.22
2295,4,24,100.84
2345,1,9,97.68
2000,1,21,75.16
1202,3,25,57.84
901,2,2,59.07
1229,2,7,67.92
2079,1,13,79.7
661,4,23,50.52
701,2,17,49.95
2481,4,14,97.15
1495,2,21,56.58
769,4,22,51.49
2386,3,1,104.25
1315,4,26,77.36
1794,3,9,101.77
955,3,1,72.03
1985,4,25,92.95
2250,3,16,99.11
1775,1,7,66.82
1516,3,0,80.29
2225,2,8,92.26
795,4,10,65.08
2248,1,21,79.97
1219,4,15,78.76
2272,2,6,112.29
837,2,28,48.42
1378,2,9,73.56
1576,3,22,84.78
1291,3,25,64.72
2445,4,2,115.19
716,4,17,58.21
1263,1,24,59.07
687,1,23,33.28
879,4,12,64.22
992,3,27,64.34
1564,2,25,86.43
1680,4,6,98.79
514,1,24,57.15
2336,3,3,96.81
564,4,12,63.24
2380,4,19,109.43
2362,3,0,127.76
1020,4,7,61.12
1867,3,13,80.01
1652,2,15,70.57
1147,3,13,45.57
1995,3,11,87.39
1586,3,18,71.39
1662,4,22,86.96
2022,4,14,101.28
1092,3,27,81.12
891,4,1,76.03
2198,1,1,84.97
918,1,22,39.16
788,4,21,64.36
878,4,18,49.54
2296,3,24,117.39
2013,2,25,97.18
730,4,29,51.41
1517,1,28,47.78
540,3,21,60.54
1551,4,25,80.38
634,1,25,51.4
700,1,21,25.86
2363,2,16,91.7
1279,3,19,69.62
1429,3,9,76.54
1556,2,5,71.18
1571,2,14,80.56
1002,3,21,50.18
906,3,10,58.76
2097,4,27,98.71
2251,4,4,111.87
1304,2,0,76.24
598,4,7,45.29
1183,1,20,41.15
2395,4,27,119.23
1225,4,11,77.87
2070,1,11,77.42
1460,2,4,88.51
2262,1,6,92.82
1112,4,3,84.55
2466,2,5,103.66
1985,4,12,117.76
1142,1,19,73.01
2292,1,29,85.47
1528,4,14,92.76
1741,3,2,93.28
1002,3,22,74.35
1266,1,7,51.93
897,1,19,54.97
1370,3,15,83.68
1294,3,12,53.83
892,4,17,51.53
706,4,27,35.39
1538,3,9,76.65
2381,4,29,112.81
2077,4,18,113.73
1391,2,16,69.27
1984,4,23,111.21
2214,1,18,74.02
2098,4,27,80.51
1363,4,25,75.33
1242,3,22,71.7
1764,1,25,72.59
